Sample Name,Cq   ,Cq Mean,Cq Error,Sample Type     ,fecal_mass_g
std 0      ,9.35,9.43,0.11,Standard        ,
std -1     ,12.75,12.93,0.25,Standard        ,
std -3     ,22.01,21.83,0.26,Standard        ,
std -5     ,31.86,32.04,0.25,Standard        ,
std -7     ,38.07,37.84,0.33,Standard        ,
std -8     ,38.64,38.92,0.39,Standard        ,
neg        ,38.61,37.96,0.93,Negative control,
neg        ,37.3,37.96,0.93,Negative control,
neg        ,-    ,-      ,-       ,Negative control,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
std 0      ,9.5,9.43,0.11,Standard        ,
std -1     ,13.11,12.93,0.25,Standard        ,
std -3     ,21.64,21.83,0.26,Standard        ,
std -5     ,32.22,32.04,0.25,Standard        ,
std -7     ,37.6,37.84,0.33,Standard        ,
std -8     ,39.19,38.92,0.39,Standard        ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
n044301    ,11.6,11.71,0.15,Unknown         ,
n044302    ,11.63,11.52,0.09,Unknown         ,
n044303    ,10.78,10.7,0.13,Unknown         ,
n044401    ,11.19,11.2,0.02,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
n073703    ,18.9,18.83,0.06,Unknown         ,
n074001    ,10.35,10.38,0.05,Unknown         ,
n074002    ,22.03,21.91,0.13,Unknown         ,
n074301    ,14.76,15,0.23,Unknown         ,
n074302    ,12.52,12.53,0.02,Unknown         ,
n074303    ,10.78,10.84,0.1,Unknown         ,
n044301    ,11.66,11.71,0.15,Unknown         ,
n044302    ,11.45,11.52,0.09,Unknown         ,
n044303    ,10.77,10.7,0.13,Unknown         ,
n044401    ,11.18,11.2,0.02,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
n073703    ,18.8,18.83,0.06,Unknown         ,
n074001    ,10.44,10.38,0.05,Unknown         ,
n074002    ,21.78,21.91,0.13,Unknown         ,
n074301    ,15.02,15,0.23,Unknown         ,
n074302    ,12.55,12.53,0.02,Unknown         ,
n074303    ,10.79,10.84,0.1,Unknown         ,
n044301    ,11.88,11.71,0.15,Unknown         ,
n044302    ,11.49,11.52,0.09,Unknown         ,
n044303    ,10.55,10.7,0.13,Unknown         ,
n044401    ,11.22,11.2,0.02,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
n073703    ,18.78,18.83,0.06,Unknown         ,
n074001    ,10.36,10.38,0.05,Unknown         ,
n074002    ,21.91,21.91,0.13,Unknown         ,
n074301    ,15.22,15,0.23,Unknown         ,
n074302    ,12.51,12.53,0.02,Unknown         ,
n074303    ,10.95,10.84,0.1,Unknown         ,
n103804    ,25.78,26.03,0.23,Unknown         ,
n103703    ,21.19,21.41,0.2,Unknown         ,
n104403a   ,20.39,20.37,0.03,Unknown         ,
n104403b   ,19.58,19.68,0.1,Unknown         ,
n104301    ,21.44,21.59,0.13,Unknown         ,
n104302    ,21.51,21.65,0.13,Unknown         ,
n104303    ,11.47,11.35,0.11,Unknown         ,
n104001    ,11.71,11.91,0.24,Unknown         ,
n104002    ,10.81,10.89,0.1,Unknown         ,
n104003    ,12.07,12.15,0.07,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
n103804    ,26.07,26.03,0.23,Unknown         ,
n103703    ,21.57,21.41,0.2,Unknown         ,
n104403a   ,20.38,20.37,0.03,Unknown         ,
n104403b   ,19.68,19.68,0.1,Unknown         ,
n104301    ,21.63,21.59,0.13,Unknown         ,
n104302    ,21.75,21.65,0.13,Unknown         ,
n104303    ,11.28,11.35,0.11,Unknown         ,
n104001    ,11.84,11.91,0.24,Unknown         ,
n104002    ,10.87,10.89,0.1,Unknown         ,
n104003    ,12.17,12.15,0.07,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
n103804    ,26.24,26.03,0.23,Unknown         ,
n103703    ,21.47,21.41,0.2,Unknown         ,
n104403a   ,20.33,20.37,0.03,Unknown         ,
n104403b   ,19.78,19.68,0.1,Unknown         ,
n104301    ,21.69,21.59,0.13,Unknown         ,
n104302    ,21.7,21.65,0.13,Unknown         ,
n104303    ,11.29,11.35,0.11,Unknown         ,
n104001    ,12.18,11.91,0.24,Unknown         ,
n104002    ,11,10.89,0.1,Unknown         ,
n104003    ,12.2,12.15,0.07,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
           ,-    ,-      ,-       ,Unknown         ,
